281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281
281,281,281,281,281,281,281,281,281,281,281,281,200,191,191,191,192,191,191,191,191,192,193,209,281,281,281,281,281,281,281,281
281,281,281,281,281,281,281,281,281,281,200,193,188,162,172,184,181,316,176,183,166,323,333,189,192,209,281,281,281,281,281,281
281,281,281,281,281,281,281,201,192,192,188,334,329,185,185,319,176,183,186,321,329,147,166,330,147,207,281,281,281,281,281,281
281,281,281,281,281,200,191,187,166,334,186,178,167,179,332,166,180,181,166,161,162,174,186,327,170,189,208,281,281,281,281,281
281,281,281,281,281,197,161,185,166,173,163,169,172,176,317,318,174,202,210,210,195,174,183,166,319,330,207,281,281,281,281,281
281,281,281,281,200,188,326,147,172,333,163,170,184,166,164,186,321,207,313,289,197,238,345,71,220,331,207,281,281,281,281,281
281,281,281,281,197,328,330,182,183,320,163,177,336,177,324,331,202,216,283,201,226,242,77,352,231,162,205,281,281,281,281,281
281,281,281,281,197,334,320,167,325,170,147,186,332,318,161,203,215,300,311,197,348,352,338,245,340,322,206,281,281,281,281,281
281,281,281,281,198,336,318,335,182,326,329,186,334,174,174,205,299,313,200,187,224,249,238,78,337,173,205,281,281,281,281,281
281,281,281,281,198,330,177,166,319,164,322,319,321,179,202,215,294,201,187,237,237,236,337,349,227,166,207,281,281,281,281,281
281,281,281,281,196,321,324,173,316,332,173,163,316,202,215,304,296,198,340,241,72,337,226,345,322,173,190,209,281,281,281,281
281,281,281,281,197,172,316,164,165,315,171,179,203,215,310,304,200,187,186,115,87,87,113,115,332,334,166,207,281,281,281,281
281,281,281,281,197,165,315,173,324,173,321,202,215,310,290,200,187,162,96,106,118,98,120,86,179,320,163,207,281,281,281,281
281,281,281,281,198,147,172,332,328,335,332,207,294,287,200,187,328,119,118,84,118,119,93,122,114,171,203,216,281,281,281,281
281,281,281,281,198,177,328,333,186,170,202,216,291,200,187,326,103,101,122,114,98,84,109,97,103,333,207,281,281,281,281,281
281,281,281,281,213,194,169,333,177,162,206,313,200,188,163,175,147,118,94,116,121,108,121,101,176,202,215,281,281,281,281,281
281,281,281,281,281,214,194,332,179,185,190,193,187,334,166,165,163,118,120,106,121,118,86,331,185,205,281,281,281,281,281,281
281,281,281,281,281,281,214,194,321,173,334,162,333,178,161,333,176,167,329,84,119,118,181,321,203,215,281,281,281,281,281,281
281,281,281,281,281,281,281,213,212,194,328,173,317,186,326,318,165,322,332,332,176,315,163,203,216,281,281,281,281,281,281,281
281,281,281,281,281,281,281,281,281,214,211,211,195,334,327,169,329,164,166,335,202,212,212,216,281,281,281,281,281,281,281,281
281,281,281,281,281,281,281,281,281,281,281,281,214,212,211,210,210,210,211,212,215,281,281,281,281,281,281,281,281,281,281,281
281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281
281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281
